"Superintendência","Processo","Tipo de requerimento","Fase Atual","CPF CNPJ do titular","Titular","Municipio(s)","Substância(s)","Tipo(s) de Uso","Situação","Data da Cessão"
"Gerência Regional / GO","861140/2016","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","***.334.901-**","Gilberto Martins da costa","CROMÍNIA - GO, PROFESSOR JAMIL - GO","GRANITO","Revestimento","Sim","15/10/2020"
"Gerência Regional / GO","862175/2005","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","03.333.398/0001-76","P Z AREIA E TRANSPORTE EIRELI","SILVÂNIA - GO, VIANÓPOLIS - GO","AREIA, MINÉRIO DE OURO","Construção civil, Industrial","Sim","30/03/2009"
"Gerência Regional / GO","862175/2005","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","03.333.398/0001-76","P Z AREIA E TRANSPORTE EIRELI","SILVÂNIA - GO, VIANÓPOLIS - GO","AREIA, MINÉRIO DE OURO","Construção civil, Industrial","Sim","19/09/2008"
"Gerência Regional / GO","862175/2005","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","03.333.398/0001-76","P Z AREIA E TRANSPORTE EIRELI","SILVÂNIA - GO, VIANÓPOLIS - GO","AREIA, MINÉRIO DE OURO","Construção civil, Industrial","Sim","17/03/2008"
"Gerência Regional / GO","862175/2005","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","03.333.398/0001-76","P Z AREIA E TRANSPORTE EIRELI","SILVÂNIA - GO, VIANÓPOLIS - GO","AREIA, MINÉRIO DE OURO","Construção civil, Industrial","Sim","28/12/2007"
"Gerência Regional / GO","862175/2005","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","03.333.398/0001-76","P Z AREIA E TRANSPORTE EIRELI","SILVÂNIA - GO, VIANÓPOLIS - GO","AREIA, MINÉRIO DE OURO","Construção civil, Industrial","Sim","29/08/2007"
"Gerência Regional / GO","862175/2005","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","03.333.398/0001-76","P Z AREIA E TRANSPORTE EIRELI","SILVÂNIA - GO, VIANÓPOLIS - GO","AREIA, MINÉRIO DE OURO","Construção civil, Industrial","Sim","26/03/2007"
"Gerência Regional / GO","860684/2004","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","04.317.119/0001-43","MINERADORA AMERICAL LTDA - EPP","POSSE - GO","MINÉRIO DE OURO","Industrial","Sim","16/03/2012"
"Gerência Regional / GO","860155/1991","Requerimento de Autorização de Pesquisa","Concessão de Lavra","09.642.280/0001-06","PEDREIRA HVB LTDA","BELA VISTA DE GOIÁS - GO","MICAXISTO","Demais substâncias","Sim","10/02/1993"
"Gerência Regional / GO","860155/1991","Requerimento de Autorização de Pesquisa","Concessão de Lavra","09.642.280/0001-06","PEDREIRA HVB LTDA","BELA VISTA DE GOIÁS - GO","MICAXISTO","Demais substâncias","Sim","06/11/2009"
"Gerência Regional / GO","861231/2016","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","***.774.761-**","RICARDO DE SOUZA LOBO","CAMPINAÇU - GO","CALCÁRIO","Revestimento","Sim","02/12/2019"
"Gerência Regional / GO","861231/2016","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","***.774.761-**","RICARDO DE SOUZA LOBO","CAMPINAÇU - GO","CALCÁRIO","Revestimento","Sim","13/08/2019"
"Gerência Regional / GO","860501/2011","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","02.582.226/0001-73","Mineração M.r.v Ltda.","NIQUELÂNDIA - GO","MINÉRIO DE OURO","Industrial","Sim","05/09/2012"
"Gerência Regional / GO","860501/2011","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","02.582.226/0001-73","Mineração M.r.v Ltda.","NIQUELÂNDIA - GO","MINÉRIO DE OURO","Industrial","Sim","09/02/2015"
"Gerência Regional / GO","860745/2000","Requerimento de Autorização de Pesquisa","Concessão de Lavra","17.125.322/0001-60","EMBRAAREIA EMPRESA DE EXTRACAO E COMERCIO DE AREIA LTDA","SANTA RITA DO NOVO DESTINO - GO, URUAÇU - GO","AREIA","Construção civil","Sim","24/04/2001"
"Gerência Regional / GO","860755/2009","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","26.212.301/0001-72","Mineradora Magal Ltda Me","GOIANÉSIA - GO, SANTA ISABEL - GO","AREIA, CASCALHO, MINÉRIO DE OURO","Construção civil, Construção civil, Industrial","Sim","31/03/2014"
"Gerência Regional / GO","810817/1974","Requerimento de Autorização de Pesquisa","Concessão de Lavra","15.083.339/0001-76","M CAL COMBUSTIVEIS E MINERACAO LTDA","CAIAPÔNIA - GO, PEROLÂNDIA - GO","BASALTO, CALCÁRIO DOLOMÍTICO","Brita, Demais substâncias","Sim","18/11/2025"
"Gerência Regional / GO","810817/1974","Requerimento de Autorização de Pesquisa","Concessão de Lavra","15.083.339/0001-76","M CAL COMBUSTIVEIS E MINERACAO LTDA","CAIAPÔNIA - GO, PEROLÂNDIA - GO","BASALTO, CALCÁRIO DOLOMÍTICO","Brita, Demais substâncias","Sim","21/05/2018"
"Gerência Regional / GO","861469/2004","Requerimento de Autorização de Pesquisa","Concessão de Lavra","28.443.446/0001-00","L F MONTEIRO FILHO","JARAGUÁ - GO, SÃO FRANCISCO DE GOIÁS - GO","AREIA, CASCALHO","Construção civil, Construção civil","Sim","02/05/2011"
"Gerência Regional / GO","860812/2021","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","***.784.071-**","RICARDO ROSA SOUZA","CAIAPÔNIA - GO","AREIA, DIAMANTE","Construção civil, Industrial","Sim","31/03/2023"
"Gerência Regional / GO","861124/2010","Requerimento de Cessão parcial","Concessão de Lavra","37.780.330/0001-57","CARMELIA LUCIA NORONHA","GOIÁS - GO","AREIA, CASCALHO","Construção civil, Construção civil","Sim","05/09/2012"
"Gerência Regional / GO","861124/2010","Requerimento de Cessão parcial","Concessão de Lavra","37.780.330/0001-57","CARMELIA LUCIA NORONHA","GOIÁS - GO","AREIA, CASCALHO","Construção civil, Construção civil","Sim","11/06/2014"
"Gerência Regional / GO","860358/2010","Requerimento de Autorização de Pesquisa","Concessão de Lavra","15.455.139/0001-05","SCAVA TERRA EMPREENDIMENTOS LTDA","FAINA - GO","AREIA, MINÉRIO DE OURO","Construção civil, Industrial","Sim","27/09/2012"
"Gerência Regional / GO","860358/2010","Requerimento de Autorização de Pesquisa","Concessão de Lavra","15.455.139/0001-05","SCAVA TERRA EMPREENDIMENTOS LTDA","FAINA - GO","AREIA, MINÉRIO DE OURO","Construção civil, Industrial","Sim","13/06/2024"
"Gerência Regional / GO","862853/2011","Requerimento de Cessão parcial","Requerimento de Lavra","48.895.418/0001-30","AREIAL 3 RIOS LTDA","CACHOEIRA DE GOIÁS - GO","AREIA","Construção civil","Sim","27/11/2019"
"Gerência Regional / GO","862853/2011","Requerimento de Cessão parcial","Requerimento de Lavra","48.895.418/0001-30","AREIAL 3 RIOS LTDA","CACHOEIRA DE GOIÁS - GO","AREIA","Construção civil","Sim","12/12/2023"
"Gerência Regional / GO","860216/2018","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","50.223.792/0001-31","AF EXTRACAO DE AREIA E CALCARIO LTDA.","SÃO DOMINGOS - GO","MINÉRIO DE OURO","Industrial","Sim","04/09/2025"
"Gerência Regional / GO","860216/2018","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","50.223.792/0001-31","AF EXTRACAO DE AREIA E CALCARIO LTDA.","SÃO DOMINGOS - GO","MINÉRIO DE OURO","Industrial","Sim","14/09/2021"
"Gerência Regional / GO","860271/2024","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","57.069.852/0001-52","DEEP CORE LTDA","CAVALCANTE - GO","MINÉRIO DE OURO","Industrial","Sim","09/06/2026"
"Gerência Regional / GO","860520/1998","Requerimento de Autorização de Pesquisa","Direito de Requerer a Lavra","***.265.671-**","Edicleides Batista dos Santos","BURITI DE GOIÁS - GO, NOVO BRASIL - GO","MINÉRIO DE TITÂNIO","Demais substâncias","Sim","27/06/2001"
"Gerência Regional / GO","861942/1995","Requerimento de Autorização de Pesquisa","Concessão de Lavra","03.817.198/0001-99","N S A MINERACAO AGUA D'MINA LTDA","SÃO MIGUEL DO PASSA QUATRO - GO","ÁGUA MINERAL","Demais substâncias","Sim","21/11/2000"
"Gerência Regional / GO","860360/2001","Requerimento de Autorização de Pesquisa","Concessão de Lavra","04.596.259/0001-06","MINERACAO CAPA BRANCA LTDA","RIO VERDE - GO","DOLOMITO","Demais substâncias","Sim","17/07/2002"
"Gerência Regional / GO","860833/2000","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","05.284.606/0001-10","PLANALTO EXTRACAO DE AREIA LTDA","PLANALTINA - GO","AREIA","Construção civil","Sim","16/05/2003"
"Gerência Regional / GO","860561/2001","Requerimento de Autorização de Pesquisa","Concessão de Lavra","04.926.666/0001-26","CELESTIAL INDÚSTRIA BRASILEIRA DE ÁGUA MINERAL LTDA","CACHOEIRA ALTA - GO","ÁGUA MINERAL","Industrial","Sim","29/10/2003"
"Gerência Regional / GO","861140/2016","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","***.334.901-**","Gilberto Martins da costa","CROMÍNIA - GO, PROFESSOR JAMIL - GO","GRANITO","Revestimento","Sim","15/10/2020"
"Gerência Regional / GO","862175/2005","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","03.333.398/0001-76","P Z AREIA E TRANSPORTE EIRELI","SILVÂNIA - GO, VIANÓPOLIS - GO","AREIA, MINÉRIO DE OURO","Construção civil, Industrial","Sim","05/04/2013"
"Gerência Regional / GO","860014/2006","Requerimento de Autorização de Pesquisa","Concessão de Lavra","05.695.212/0001-54","MINERAÇÃO & TRANSPORTE NOSSA SENHORA APARECIDA LTDA","SANTA VITÓRIA - MG, SÃO SIMÃO - GO","AREIA","Construção civil","Sim","23/08/2006"
"Gerência Regional / GO","861815/2005","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","04.394.591/0001-80","CONCRETA BRITAS LTDA","CALDAS NOVAS - GO","MINÉRIO DE OURO, XISTO","Brita, Industrial","Sim","22/02/2006"
"Gerência Regional / GO","861745/2010","Requerimento de Cessão parcial","Requerimento de Lavra","70.997.689/0001-56","Dleon Mineradora Ltda EPP","ABADIA DE GOIÁS - GO","GRANITO, GRANULITO","Brita, Brita","Sim","24/04/2017"
"Gerência Regional / GO","860557/1998","Requerimento de Autorização de Pesquisa","Concessão de Lavra","07.965.002/0001-64","MINERADORA CRISTALINA LTDA","CRISTALINA - GO","AREIA","Demais substâncias","Sim","10/07/2006"
"Gerência Regional / GO","861336/2004","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","05.729.750/0001-12","Brazil Quartzite Stone Mineração Ltda","JATAÍ - GO","QUARTZITO","Revestimento","Sim","19/06/2006"
"Gerência Regional / GO","860608/1991","Requerimento de Lavra Garimpeira","Lavra Garimpeira","***.510.435-**","OSMAR PEREIRA EVANGELISTA","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim","26/03/2019"
"Gerência Regional / GO","860684/2004","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","04.317.119/0001-43","MINERADORA AMERICAL LTDA - EPP","POSSE - GO","MINÉRIO DE OURO","Industrial","Sim","01/11/2012"
"Gerência Regional / GO","860155/1991","Requerimento de Autorização de Pesquisa","Concessão de Lavra","09.642.280/0001-06","PEDREIRA HVB LTDA","BELA VISTA DE GOIÁS - GO","MICAXISTO","Demais substâncias","Sim","14/09/2009"
"Gerência Regional / GO","860198/2023","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","***.803.316-**","IVAN GODOI DE SOUZA","ARAGOIÂNIA - GO, HIDROLÂNDIA - GO","AREIA, CASCALHO, MINÉRIO DE OURO","Construção civil, Construção civil, Industrial","Sim","14/11/2024"
"Gerência Regional / GO","862124/2007","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","13.379.343/0001-50","Dragagem Vargem do Moinho Ltda","GOIATUBA - GO","AREIA","Construção civil","Sim","16/05/2011"
"Gerência Regional / GO","860396/2015","Requerimento de Disponibilidade para lavra","Concessão de Lavra","13.383.473/0001-67","EMERSON PINHEIRO ROSA","CROMÍNIA - GO, PROFESSOR JAMIL - GO","AREIA, CASCALHO","Construção civil, Construção civil","Sim","20/03/2020"
"Gerência Regional / GO","861844/2008","Requerimento de Autorização de Pesquisa","Concessão de Lavra","12.985.327/0001-49","JOSE DE CAMPOS AMARAL","COCALZINHO DE GOIÁS - GO","AREIA","Construção civil","Sim","28/10/2011"
"Gerência Regional / GO","861231/2016","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","***.774.761-**","RICARDO DE SOUZA LOBO","CAMPINAÇU - GO","CALCÁRIO","Revestimento","Sim","01/10/2025"
"Gerência Regional / GO","860501/2011","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","02.582.226/0001-73","Mineração M.r.v Ltda.","NIQUELÂNDIA - GO","MINÉRIO DE OURO","Industrial","Sim","11/09/2013"
"Gerência Regional / GO","860745/2000","Requerimento de Autorização de Pesquisa","Concessão de Lavra","17.125.322/0001-60","EMBRAAREIA EMPRESA DE EXTRACAO E COMERCIO DE AREIA LTDA","SANTA RITA DO NOVO DESTINO - GO, URUAÇU - GO","AREIA","Construção civil","Sim","27/10/2021"
"Gerência Regional / GO","861657/2021","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","***.986.101-**","SERGIO JOSE FERREIRA","MORRINHOS - GO","AREIA, OURO","Construção civil, Industrial","Sim","27/01/2026"
"Gerência Regional / GO","860813/2023","Requerimento de Cessão parcial","Requerimento de Lavra","15.534.873/0001-51","RIO CLARO MINERACAO E EMPREENDIMENTOS LTDA","CAVALCANTE - GO","AREIA, MINÉRIO DE OURO","Construção civil, Industrial","Sim","05/12/2025"
"Gerência Regional / GO","860156/2010","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","23.016.277/0001-08","Calcária Mineradora Ltda","PADRE BERNARDO - GO","QUARTZITO, QUARTZO","Industrial, Industrial","Sim","14/09/2015"
"Gerência Regional / GO","860615/2013","Requerimento de Cessão parcial","Requerimento de Lavra","24.968.522/0001-40","Czizeski Mineração Indaia Ltda Me","FORMOSA - GO","AREIA","Construção civil","Sim","27/11/2019"
"Gerência Regional / GO","860755/2009","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","26.212.301/0001-72","Mineradora Magal Ltda Me","GOIANÉSIA - GO, SANTA ISABEL - GO","AREIA, CASCALHO, MINÉRIO DE OURO","Construção civil, Construção civil, Industrial","Sim","08/11/2019"
"Gerência Regional / GO","860187/2010","Requerimento de Autorização de Pesquisa","Concessão de Lavra","26.575.395/0001-44","Jose Pedro Vaz Neto ME","CATALÃO - GO, CUMARI - GO, TRÊS RANCHOS - GO","AREIA, CASCALHO, DIAMANTE, DIAMANTE","Construção civil, Construção civil, Gema, Industrial","Sim","23/01/2017"
"Gerência Regional / GO","810817/1974","Requerimento de Autorização de Pesquisa","Concessão de Lavra","15.083.339/0001-76","M CAL COMBUSTIVEIS E MINERACAO LTDA","CAIAPÔNIA - GO, PEROLÂNDIA - GO","BASALTO, CALCÁRIO DOLOMÍTICO","Brita, Demais substâncias","Sim","19/02/2014"
"Gerência Regional / GO","860414/2018","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","***.219.996-**","ADALBERTO ALVES MOREIRA","NIQUELÂNDIA - GO","MINÉRIO DE OURO","Industrial","Sim","14/09/2021"
"Gerência Regional / GO","861469/2004","Requerimento de Autorização de Pesquisa","Concessão de Lavra","28.443.446/0001-00","L F MONTEIRO FILHO","JARAGUÁ - GO, SÃO FRANCISCO DE GOIÁS - GO","AREIA, CASCALHO","Construção civil, Construção civil","Sim","13/05/2019"
"Gerência Regional / GO","860812/2021","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","***.784.071-**","RICARDO ROSA SOUZA","CAIAPÔNIA - GO","AREIA, DIAMANTE","Construção civil, Industrial","Sim","31/03/2023"
"Gerência Regional / GO","861298/2015","Requerimento de Disponibilidade para pesquisa","Autorização de Pesquisa","04.061.994/0001-07","T.L.LOPES E CIA LTDA ME","MONTE ALEGRE DE GOIÁS - GO","MINÉRIO DE ESTANHO, MINÉRIO DE OURO, MINÉRIO DE TÂNTALO","Industrial, Industrial, Industrial","Sim","05/10/2018"
"Gerência Regional / GO","860497/2020","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","03.780.335/0001-68","TROPICO MINERACAO LTDA","COCALZINHO DE GOIÁS - GO, CORUMBÁ DE GOIÁS - GO","MINÉRIO DE OURO","Industrial","Sim","27/01/2026"
"Gerência Regional / GO","860385/2011","Requerimento de Lavra Garimpeira","Lavra Garimpeira","***.930.131-**","Joselita de Brito Escobar","CAMPOS VERDES - GO","ESMERALDA","Gema","Sim","20/03/2020"
"Gerência Regional / GO","860241/2019","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","09.617.400/0001-15","Metal Company Extração, Beneficiamento, Comercio, Exportação e Importação Ltda","NIQUELÂNDIA - GO","MINÉRIO DE MANGANÊS","Industrial","Sim","16/11/2020"
"Gerência Regional / GO","861035/2021","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","***.534.901-**","Iraides Mendes Dionísio dos Santos Rodrigues","AMARALINA - GO, BONÓPOLIS - GO, MUTUNÓPOLIS - GO, PORANGATU - GO","AREIA, OURO","Construção civil, Industrial","Sim","14/04/2026"
"Gerência Regional / GO","860925/2019","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","***.787.231-**","Waldivino Nunes dos Santos","COCALZINHO DE GOIÁS - GO, PIRENÓPOLIS - GO","MINÉRIO DE OURO","Industrial","Sim","02/07/2020"
"Gerência Regional / GO","860544/2020","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","***.948.971-**","EMERSON FERNANDES DA CONCEICAO","NIQUELÂNDIA - GO","MINÉRIO DE OURO","Industrial","Sim","17/11/2023"
"Gerência Regional / GO","861124/2010","Requerimento de Cessão parcial","Concessão de Lavra","37.780.330/0001-57","CARMELIA LUCIA NORONHA","GOIÁS - GO","AREIA, CASCALHO","Construção civil, Construção civil","Sim","27/10/2021"
"Gerência Regional / GO","860390/2020","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","***.397.351-**","GETULIO FERREIRA CAMARA NUNES","PIRENÓPOLIS - GO","MINÉRIO DE OURO","Industrial","Sim","24/12/2020"
"Gerência Regional / GO","860543/2014","Requerimento de Disponibilidade para lavra","Requerimento de Lavra","11.811.440/0001-45","AVBN GOLD PROSPECCAO DE MINERACAO LTDA","NIQUELÂNDIA - GO","MINÉRIO DE OURO, OURO","Demais substâncias, Industrial","Sim","26/10/2021"
"Gerência Regional / GO","861102/2022","Requerimento de Autorização de Pesquisa","Direito de Requerer a Lavra","37.218.659/0001-29","COMERCIAL SANTOS NETO LTDA","ARAGUAPAZ - GO","AREIA, MINÉRIO DE OURO","Construção civil, Industrial","Sim","05/02/2025"
"Gerência Regional / GO","860100/2022","Requerimento de Cessão parcial","Autorização de Pesquisa","44.695.577/0001-30","A J DE MOURA SOUSA MINERACAO","NIQUELÂNDIA - GO","MINÉRIO DE OURO","Industrial","Sim","31/03/2023"
"Gerência Regional / GO","860358/2010","Requerimento de Autorização de Pesquisa","Concessão de Lavra","15.455.139/0001-05","SCAVA TERRA EMPREENDIMENTOS LTDA","FAINA - GO","AREIA, MINÉRIO DE OURO","Construção civil, Industrial","Sim","23/09/2014"
"Gerência Regional / GO","860643/2021","Requerimento de Lavra - Oferta Pública","Requerimento de Lavra","43.183.382/0001-49","MARCINHO EMPREENDIMENTO EIRELI","CATALÃO - GO, CUMARI - GO","AREIA","Construção civil","Sim","24/11/2023"
"Gerência Regional / GO","862853/2011","Requerimento de Cessão parcial","Requerimento de Lavra","48.895.418/0001-30","AREIAL 3 RIOS LTDA","CACHOEIRA DE GOIÁS - GO","AREIA","Construção civil","Sim","07/10/2021"
"Gerência Regional / GO","860197/2023","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","48.100.311/0001-59","SOLARIS GEOLOGIA E PESQUISA MINERAL LTDA","PIRENÓPOLIS - GO","MINÉRIO DE OURO","Industrial","Sim","23/04/2025"
"Gerência Regional / GO","860216/2018","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","50.223.792/0001-31","AF EXTRACAO DE AREIA E CALCARIO LTDA.","SÃO DOMINGOS - GO","MINÉRIO DE OURO","Industrial","Sim","05/01/2021"
"Gerência Regional / GO","861677/2010","Requerimento de Cessão parcial","Concessão de Lavra","31.135.683/0001-18","CONCRETOS USINADOS NEW LTDA","GOIÁS - GO","AREIA, ARGILA","Construção civil, Industrial","Sim","30/04/2024"
"Gerência Regional / GO","861429/2021","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","51.915.904/0001-88","EXTRACAO DE AREIA MODELO LTDA","JATAÍ - GO","AREIA","Construção civil","Sim","30/04/2024"
"Gerência Regional / GO","860202/2023","Requerimento de Disponibilidade para pesquisa","Autorização de Pesquisa","52.533.875/0001-52","CONQUISTA MINERACAO LTDA","MONTE ALEGRE DE GOIÁS - GO","MINÉRIO DE ESTANHO, MINÉRIO DE OURO, MINÉRIO DE TÂNTALO","Industrial, Industrial, Industrial","Sim","24/11/2023"
"Gerência Regional / GO","861499/2024","Requerimento de Pesquisa - Leilão","Autorização de Pesquisa","54.861.902/0001-41","DJ PARTICIPACOES LTDA","NIQUELÂNDIA - GO","MINÉRIO DE OURO","Industrial","Sim","29/05/2025"
"Gerência Regional / GO","861921/2024","Requerimento de Pesquisa - Leilão","Autorização de Pesquisa","55.925.585/0001-42","BRAVIA MINERACAO INDUSTRIA E COMERCIO LTDA","BOM JARDIM DE GOIÁS - GO","GNAISSE","Brita","Sim","15/05/2025"
"Gerência Regional / GO","860271/2024","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","57.069.852/0001-52","DEEP CORE LTDA","CAVALCANTE - GO","MINÉRIO DE OURO","Industrial","Sim","04/09/2025"
"Gerência Regional / GO","860076/2025","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","59.267.958/0001-96","MINERADORA RAHAL LTDA","APARECIDA DE GOIÂNIA - GO, BELA VISTA DE GOIÁS - GO, SENADOR CANEDO - GO","AREIA, DIAMANTE","Gema, Industrial","Sim","04/09/2025"
"Gerência Regional / GO","860956/2023","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","61.756.522/0001-02","CAL COMERCIO E MINERACAO LTDA","MIMOSO DE GOIÁS - GO","CALCÁRIO, CALCÁRIO CALCÍTICO, CALCÁRIO DOLOMÍTICO, MINÉRIO DE OURO","Corretivo de solo, Fabricação de cal, Fabricação de cimento, Industrial","Sim","27/01/2026"
"Gerência Regional / GO","860236/2020","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","59.082.170/0001-05","MINERADORA GOLD LTDA","GOIÁS - GO","MINÉRIO DE OURO","Industrial","Sim","17/03/2026"
"Gerência Regional / GO","861424/2024","Requerimento de Pesquisa - Leilão","Autorização de Pesquisa","63.109.666/0001-00","FAINA MATRINCHA 861.424 SPE LTDA","FAINA - GO, MATRINCHÃ - GO","MINÉRIO DE OURO","Industrial","Sim","27/01/2026"
"Gerência Regional / GO","861267/2022","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","63.588.954/0001-87","CALCARIO SERRA GRANDE LTDA","DIVINÓPOLIS DE GOIÁS - GO","CALCÁRIO, MINÉRIO DE OURO","Corretivo de solo, Industrial","Sim","17/03/2026"
"Gerência Regional / GO","860919/2025","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","***.291.621-**","CLEILSON DA SILVA FREIRE","SÃO DOMINGOS - GO","MINÉRIO DE OURO","Industrial","Sim","20/08/2026"
"Gerência Regional / GO","860764/1986","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","03.534.260/0001-35","IMPERIO MINERACOES LIMITADA","MINEIROS - GO, PORTELÂNDIA - GO","DOLOMITO","Industrial","Sim","11/06/2003"
"Gerência Regional / GO","860421/2005","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","23.640.204/0001-92","Mineração Curimbaba Ltda","BARRO ALTO - GO, SANTA RITA DO NOVO DESTINO - GO","MINÉRIO DE ALUMÍNIO","Industrial","Sim","02/06/2005"
"Gerência Regional / GO","860420/2005","Requerimento de Autorização de Pesquisa","Concessão de Lavra","23.640.204/0001-92","Mineração Curimbaba Ltda","BARRO ALTO - GO","MINÉRIO DE ALUMÍNIO","Industrial","Sim","05/04/2005"
"Gerência Regional / GO","860420/2005","Requerimento de Autorização de Pesquisa","Concessão de Lavra","23.640.204/0001-92","Mineração Curimbaba Ltda","BARRO ALTO - GO","MINÉRIO DE ALUMÍNIO","Industrial","Sim","21/02/2011"
"Gerência Regional / GO","860104/2010","Requerimento de Cessão parcial","Requerimento de Lavra","23.640.204/0001-92","Mineração Curimbaba Ltda","BARRO ALTO - GO","MINÉRIO DE ALUMÍNIO","Industrial","Sim","21/02/2011"
"Gerência Regional / GO","860429/1989","Requerimento de Autorização de Pesquisa","Concessão de Lavra","02.764.530/0001-31","CTS EXTRAÇÃO DE MINÉRIOS LTDA","CALDAS NOVAS - GO","ÁGUA MINERAL","Demais substâncias","Sim","15/06/1998"
"Gerência Regional / GO","862028/1984","Requerimento de Autorização de Pesquisa","Concessão de Lavra","07.410.766/0001-93","CD MINERADORA LTDA","CACHOEIRA DOURADA - GO","ÁGUAS TERMAIS","Demais substâncias","Sim","08/04/2008"
"Gerência Regional / GO","860058/2017","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","05.835.276/0001-03","RIO MINERALS LTDA","PADRE BERNARDO - GO","MÁRMORE","Revestimento","Sim","11/06/2019"
"Gerência Regional / GO","860596/2013","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","08.720.614/0001-50","BEMISA HOLDING S.A.","MINAÇU - GO","MINÉRIO DE NÍQUEL","Industrial","Sim","20/08/2018"
"Gerência Regional / GO","860745/2003","Requerimento de Autorização de Pesquisa","Concessão de Lavra","08.155.670/0001-99","D. L. do Prado M. Construcao Me","EDEALINA - GO, PONTALINA - GO","AREIA, MINÉRIO DE TITÂNIO","Construção civil, Industrial","Sim","17/11/2006"
"Gerência Regional / GO","860115/2010","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","10.174.537/0001-21","Cristalina Mineração e Transportes Ltda Me","CRISTALINA - GO","AREIA, MINÉRIO DE OURO","Construção civil, Industrial","Sim","09/05/2013"
"Gerência Regional / GO","860063/2014","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","10.174.537/0001-21","Cristalina Mineração e Transportes Ltda Me","CRISTALINA - GO","AREIA, MINÉRIO DE OURO","Construção civil, Industrial","Sim","06/10/2016"
"Gerência Regional / GO","861262/2011","Requerimento de Disponibilidade para pesquisa","Requerimento de Lavra","10.174.537/0001-21","Cristalina Mineração e Transportes Ltda Me","CRISTALINA - GO","AREIA, MINÉRIO DE OURO","Construção civil, Industrial","Sim","09/05/2014"
"Gerência Regional / GO","860445/2008","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","10.174.537/0001-21","Cristalina Mineração e Transportes Ltda Me","CRISTALINA - GO","AREIA, MINÉRIO DE OURO","Construção civil, Industrial","Sim","16/11/2012"
"Gerência Regional / GO","860069/2010","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","14.066.935/0001-85","MINERACAO GOIAS VELHO LTDA","FAINA - GO, GOIÁS - GO","MINÉRIO DE OURO","Industrial","Sim","22/09/2011"
"Gerência Regional / GO","860069/2010","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","14.066.935/0001-85","MINERACAO GOIAS VELHO LTDA","FAINA - GO, GOIÁS - GO","MINÉRIO DE OURO","Industrial","Sim","23/01/2015"
